?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000473>	"EHDAA2:0002007"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"Wikipedia:Testis"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"GAID:396"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"XAO:0000157"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"NCIT:C12412"
<http://purl.obolibrary.org/obo/UBERON_0000473>	"HAO:0001007"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"EMAPA:28747"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"UMLS:C0458485"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"FMA:19669"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"BTO:0004088"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"SCTID:264469008"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"NCIT:C32591"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"MA:0002637"
<http://purl.obolibrary.org/obo/UBERON_0001334>	"Wikipedia:Female_urethra"
<http://purl.obolibrary.org/obo/UBERON_0035550>	"Wikipedia:Superficial_vein"
<http://purl.obolibrary.org/obo/UBERON_0035550>	"UMLS:C0226513"
<http://purl.obolibrary.org/obo/UBERON_0035550>	"FMA:76719"
<http://purl.obolibrary.org/obo/UBERON_0035550>	"SCTID:341382008"
<http://purl.obolibrary.org/obo/UBERON_0035550>	"NCIT:C33666"
<http://purl.obolibrary.org/obo/UBERON_0003615>	"MA:0002860"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"ZFA:0005004"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"EFO:0003695"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"TAO:0005004"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"EMAPA:16684"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"NCIT:C32123"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"EHDAA:7327"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"AAO:0010414"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"UMLS:C0003489"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"XAO:0000341"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"VHOG:0000122"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"Wikipedia:Aortic_arches"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"EHDAA2:0000186"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"EHDAA:398"
<http://purl.obolibrary.org/obo/UBERON_0004905>	"FBbt:00005811"
<http://purl.obolibrary.org/obo/UBERON_0036376>	"FMA:15890"
<http://purl.obolibrary.org/obo/UBERON_0006331>	"EMAPA:32790"
<http://purl.obolibrary.org/obo/UBERON_0006331>	"MA:0000821"
<http://purl.obolibrary.org/obo/UBERON_0010335>	"EHDAA2:0004602"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"BSA:0000039"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"CALOHA:TS-0229"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"FMA:69068"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"GAID:963"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"BILA:0000056"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"EHDAA2_RETIRED:0003236"
