?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/UBERON_0002409>	<http://www.w3.org/2000/01/rdf-schema#label>	"pericardial fluid"	
<http://purl.obolibrary.org/obo/GO_0043067>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of programmed cell death"	
<http://purl.obolibrary.org/obo/GO_0014015>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of gliogenesis"	
<http://purl.obolibrary.org/obo/GO_0045934>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of nucleobase-containing compound metabolic process"	
<http://purl.obolibrary.org/obo/GO_0030659>	<http://www.w3.org/2000/01/rdf-schema#label>	"cytoplasmic vesicle membrane"	
<http://purl.obolibrary.org/obo/GO_0002726>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of T cell cytokine production"	
<http://purl.obolibrary.org/obo/GO_0003032>	<http://www.w3.org/2000/01/rdf-schema#label>	"detection of oxygen"	
<http://purl.obolibrary.org/obo/PATO_0001690>	<http://www.w3.org/2000/01/rdf-schema#label>	"contractile"	
<http://purl.obolibrary.org/obo/UBERON_0004785>	<http://www.w3.org/2000/01/rdf-schema#label>	"respiratory system mucosa"	
<http://purl.obolibrary.org/obo/GO_0051957>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of amino acid transport"	
<http://purl.obolibrary.org/obo/GO_2000085>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis"	
<http://purl.obolibrary.org/obo/GO_0043232>	<http://www.w3.org/2000/01/rdf-schema#label>	"intracellular non-membrane-bounded organelle"	
<http://purl.obolibrary.org/obo/GO_0014056>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of acetylcholine secretion, neurotransmission"	
<http://purl.obolibrary.org/obo/UBERON_0009664>	<http://www.w3.org/2000/01/rdf-schema#label>	"gut mesentery"	
<http://purl.obolibrary.org/obo/GO_0044058>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of digestive system process"	
<http://purl.obolibrary.org/obo/GO_0042886>	<http://www.w3.org/2000/01/rdf-schema#label>	"amide transport"	
<http://purl.obolibrary.org/obo/UBERON_0000473>	<http://www.w3.org/2000/01/rdf-schema#label>	"testis"	
<http://purl.obolibrary.org/obo/UBERON_0001334>	<http://www.w3.org/2000/01/rdf-schema#label>	"female urethra"	
<http://purl.obolibrary.org/obo/UBERON_0035550>	<http://www.w3.org/2000/01/rdf-schema#label>	"superficial vein"	
<http://purl.obolibrary.org/obo/GO_0003150>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscular septum morphogenesis"	
<http://purl.obolibrary.org/obo/PATO_0002198>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality of a substance"	
<http://purl.obolibrary.org/obo/GO_0009889>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of biosynthetic process"	
<http://purl.obolibrary.org/obo/UBERON_0003615>	<http://www.w3.org/2000/01/rdf-schema#label>	"lung elastic tissue"	
<http://purl.obolibrary.org/obo/GO_1904178>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of adipose tissue development"	
<http://purl.obolibrary.org/obo/UBERON_0004363>	<http://www.w3.org/2000/01/rdf-schema#label>	"pharyngeal arch artery"	
<http://purl.obolibrary.org/obo/UBERON_0004905>	<http://www.w3.org/2000/01/rdf-schema#label>	"articulation"	
<http://purl.obolibrary.org/obo/GO_0030279>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of ossification"	
<http://purl.obolibrary.org/obo/UBERON_0036376>	<http://www.w3.org/2000/01/rdf-schema#label>	"wall of left ureter"	
<http://purl.obolibrary.org/obo/GO_0001776>	<http://www.w3.org/2000/01/rdf-schema#label>	"leukocyte homeostasis"	
<http://purl.obolibrary.org/obo/UBERON_0006331>	<http://www.w3.org/2000/01/rdf-schema#label>	"brainstem nucleus"	
<http://purl.obolibrary.org/obo/GO_0021515>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell differentiation in spinal cord"	
<http://purl.obolibrary.org/obo/UBERON_0010335>	<http://www.w3.org/2000/01/rdf-schema#label>	"maxillary process mesenchyme from head mesenchyme"	
<http://purl.obolibrary.org/obo/GO_0032387>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of intracellular transport"	
<http://purl.obolibrary.org/obo/GO_1904343>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of colon smooth muscle contraction"	
<http://purl.obolibrary.org/obo/UBERON_0000922>	<http://www.w3.org/2000/01/rdf-schema#label>	"embryo"	
<http://purl.obolibrary.org/obo/GO_0099172>	<http://www.w3.org/2000/01/rdf-schema#label>	"presynapse organization"	
<http://purl.obolibrary.org/obo/GO_0039014>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell differentiation involved in pronephros development"	
<http://purl.obolibrary.org/obo/UBERON_0004146>	<http://www.w3.org/2000/01/rdf-schema#label>	"His-Purkinje system"	
<http://purl.obolibrary.org/obo/GO_2000173>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of branching morphogenesis of a nerve"	
<http://purl.obolibrary.org/obo/GO_0010454>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cell fate commitment"	
<http://purl.obolibrary.org/obo/GO_0061113>	<http://www.w3.org/2000/01/rdf-schema#label>	"pancreas morphogenesis"	
<http://purl.obolibrary.org/obo/UBERON_0009752>	<http://www.w3.org/2000/01/rdf-schema#label>	"pancreas mesenchyme"	
<http://purl.obolibrary.org/obo/GO_2000795>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of epithelial cell proliferation involved in lung morphogenesis"	
<http://purl.obolibrary.org/obo/GO_0072199>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mesenchymal cell proliferation involved in ureter development"	
<http://purl.obolibrary.org/obo/UBERON_0001071>	<http://www.w3.org/2000/01/rdf-schema#label>	"superficial cervical artery"	
<http://purl.obolibrary.org/obo/UBERON_0012367>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle layer of intestine"	
<http://purl.obolibrary.org/obo/UBERON_0003703>	<http://www.w3.org/2000/01/rdf-schema#label>	"extrahepatic bile duct"	
<http://purl.obolibrary.org/obo/GO_0032991>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein-containing complex"	
<http://purl.obolibrary.org/obo/UBERON_0011249>	<http://www.w3.org/2000/01/rdf-schema#label>	"appendicular skeletal system"	
<http://purl.obolibrary.org/obo/UBERON_0004451>	<http://www.w3.org/2000/01/rdf-schema#label>	"trunk or cervical vertebra"	
<http://purl.obolibrary.org/obo/GO_0051129>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cellular component organization"	
<http://purl.obolibrary.org/obo/UBERON_0034933>	<http://www.w3.org/2000/01/rdf-schema#label>	"layer of smooth muscle tissue"	
<http://purl.obolibrary.org/obo/GO_0061071>	<http://www.w3.org/2000/01/rdf-schema#label>	"urethra epithelium development"	
<http://purl.obolibrary.org/obo/GO_0035929>	<http://www.w3.org/2000/01/rdf-schema#label>	"steroid hormone secretion"	
<http://purl.obolibrary.org/obo/GO_0021556>	<http://www.w3.org/2000/01/rdf-schema#label>	"central nervous system formation"	
<http://purl.obolibrary.org/obo/GO_0014909>	<http://www.w3.org/2000/01/rdf-schema#label>	"smooth muscle cell migration"	
<http://purl.obolibrary.org/obo/GO_1901162>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary amino compound biosynthetic process"	
<http://purl.obolibrary.org/obo/UBERON_0003304>	<http://www.w3.org/2000/01/rdf-schema#label>	"mesoderm blood island"	
<http://purl.obolibrary.org/obo/GO_1903532>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of secretion by cell"	
